,t,ticks,u,I
0,11338802,0,0,0
1,11341575,0,0,0
2,11344349,0,0,0
3,11347122,0,0,0
4,11349895,0,1,0
5,11352668,0,1,0
6,11355442,0,1,0
7,11358215,0,2,0
8,11360988,0,2,0
9,11363762,0,2,0
10,11366535,0,2,1
11,11369308,0,3,1
12,11372082,1,3,1
13,11374855,1,3,1
14,11377628,1,3,1
15,11380402,2,4,2
16,11383175,3,4,2
17,11385948,3,4,3
18,11388722,4,5,3
19,11391495,5,5,3
20,11394268,6,5,4
21,11397042,7,5,4
22,11399815,9,6,4
23,11402588,10,6,4
24,11405448,12,6,5
25,11408308,13,7,7
26,11411168,15,7,7
27,11414029,17,7,7
28,11416888,19,7,8
29,11419748,21,8,8
30,11422608,23,8,9
31,11425469,26,8,9
32,11428328,28,9,9
33,11431189,31,9,11
34,11434135,34,9,11
35,11437082,37,9,11
36,11440037,41,10,12
37,11443070,44,10,12
38,11446104,48,10,12
39,11449137,52,11,14
40,11452170,56,11,14
41,11455204,60,11,14
42,11458237,64,12,14
43,11461271,68,12,14
44,11464304,73,12,16
45,11467337,77,12,17
46,11470370,82,13,17
47,11473404,87,13,19
48,11476437,93,13,19
49,11479470,98,14,19
50,11482504,104,14,19
51,11485624,109,14,20
52,11488744,115,15,20
53,11491864,121,15,20
54,11494984,127,15,22
55,11498104,133,15,22
56,11501224,140,16,22
57,11504344,146,16,23
58,11507464,153,16,23
59,11510584,160,17,24
60,11513704,167,17,25
61,11516824,174,17,25
62,11519944,181,18,25
63,11523064,188,18,27
64,11526184,196,18,27
65,11529304,203,19,28
66,11532424,211,19,28
67,11535544,219,19,28
68,11538664,227,19,29
69,11541784,236,20,30
70,11544904,244,20,30
71,11548024,253,20,30
72,11551144,261,21,31
73,11554264,270,21,31
74,11557384,279,21,31
75,11560504,289,22,33
76,11563624,298,22,33
77,11566744,308,22,33
78,11569864,317,23,34
79,11572984,327,23,35
80,11576104,337,23,35
81,11579224,347,24,35
82,11582344,358,24,36
83,11585464,368,24,36
84,11588584,379,24,36
85,11591704,389,25,38
86,11594824,400,25,38
87,11597944,411,25,38
88,11601064,422,26,39
89,11604185,434,26,39
90,11607312,445,26,40
91,11610432,456,27,39
92,11613552,468,27,39
93,11616672,480,27,40
94,11619792,492,28,42
95,11622912,504,28,41
96,11626032,516,28,41
97,11629152,528,28,44
98,11632273,541,29,44
99,11635393,553,29,44
100,11638512,566,29,45
101,11641632,579,30,44
102,11644752,592,30,44
103,11647872,605,30,44
104,11650993,619,31,46
105,11654113,633,31,46
106,11657241,646,31,46
107,11660361,660,32,48
108,11663481,674,32,48
109,11666601,688,32,48
110,11669721,702,33,47
111,11672841,716,33,47
112,11675961,730,33,48
113,11679081,745,33,50
114,11682201,760,34,50
115,11685321,775,34,50
116,11688441,790,34,52
117,11691561,805,35,52
118,11694681,820,35,51
119,11697801,836,35,50
120,11700921,851,36,50
121,11704041,867,36,50
122,11707161,883,36,52
123,11710281,899,37,53
124,11713401,915,37,53
125,11716530,932,37,55
126,11719650,948,38,53
127,11722770,964,38,53
128,11725890,981,38,53
129,11729010,998,38,55
130,11732130,1015,39,55
131,11735337,1032,39,55
132,11738543,1050,39,57
133,11741750,1068,40,57
134,11744956,1086,40,57
135,11748163,1104,40,55
136,11751370,1123,41,55
137,11754577,1141,41,55
138,11757783,1160,41,57
