,t,ticks,u,I
0,14901980,1734,0,0
1,14905014,1734,0,0
2,14908047,1734,0,0
3,14911080,1734,0,0
4,14914114,1734,1,0
5,14917147,1734,1,0
6,14920181,1734,1,0
7,14923214,1734,2,0
8,14926247,1734,2,0
9,14929280,1734,2,0
10,14932314,1734,3,0
11,14935347,1734,3,1
12,14938380,1734,3,2
13,14941414,1735,3,2
14,14944447,1735,4,2
15,14947480,1736,4,2
16,14950514,1736,4,2
17,14953547,1737,5,3
18,14956580,1738,5,3
19,14959614,1739,5,4
20,14962647,1740,6,4
21,14965680,1741,6,4
22,14968714,1743,6,5
23,14971747,1744,7,7
24,14974780,1746,7,7
25,14977814,1748,7,6
26,14980847,1750,7,7
27,14983880,1752,8,7
28,14986914,1755,8,9
29,14989947,1757,8,9
30,14992980,1760,9,9
31,14996014,1763,9,10
32,14999134,1766,9,10
33,15002254,1769,10,10
34,15005460,1772,10,10
35,15008667,1776,10,9
36,15011787,1780,11,9
37,15014907,1783,11,18
38,15018114,1787,11,15
39,15021320,1792,12,15
40,15024527,1796,12,15
41,15027734,1815,12,15
42,15030940,1825,12,17
43,15034147,1826,13,17
44,15037354,1826,13,19
45,15040560,1826,13,18
46,15043767,1826,14,18
47,15046974,1826,14,19
48,15050181,1826,14,20
49,15053387,1831,15,20
50,15056594,1842,15,21
51,15059809,1858,15,20
52,15063016,1864,16,22
53,15066222,1870,16,22
54,15069429,1877,16,24
55,15072636,1884,17,24
56,15075842,1891,17,24
57,15079049,1898,17,24
58,15082256,1905,18,25
59,15085462,1912,18,25
60,15088669,1919,18,26
61,15091876,1934,18,27
62,15095082,1950,19,27
63,15098289,1954,19,27
64,15101496,1954,19,29
65,15104702,1954,20,29
66,15107909,1954,20,29
67,15111116,1960,20,29
68,15114322,1979,21,30
69,15117529,1996,21,30
70,15120736,2001,21,31
71,15123942,2011,22,32
72,15127149,2020,22,32
73,15130356,2029,22,32
74,15133562,2039,23,31
75,15136769,2048,23,34
76,15139976,2058,23,34
77,15143182,2080,24,34
78,15146389,2082,24,35
79,15149596,2082,24,35
80,15152802,2083,25,36
81,15156009,2102,25,37
82,15159216,2121,25,37
83,15162422,2132,26,38
84,15165629,2143,26,38
85,15168836,2154,26,38
86,15172042,2165,26,38
87,15175249,2176,27,40
88,15178456,2199,27,40
89,15181671,2211,27,40
90,15184878,2211,28,41
91,15188084,2211,28,42
92,15191291,2222,28,42
93,15194498,2249,29,42
94,15197704,2259,29,43
95,15200911,2272,29,43
96,15204118,2285,30,42
97,15207324,2297,30,43
98,15210531,2310,30,44
99,15213738,2325,31,44
100,15216944,2339,31,44
101,15220151,2339,31,45
102,15223358,2351,32,45
103,15226564,2377,32,46
104,15229771,2390,32,47
105,15232978,2405,33,47
106,15236184,2419,33,46
107,15239391,2432,33,47
108,15242598,2462,34,47
109,15245804,2467,34,47
110,15249011,2467,34,49
111,15252218,2477,35,49
112,15255424,2507,35,49
113,15258631,2520,35,50
114,15261846,2536,35,50
115,15265053,2551,36,50
116,15268260,2566,36,50
117,15271467,2584,36,50
118,15274673,2595,37,50
119,15277880,2597,37,51
120,15281086,2632,37,52
121,15284293,2645,38,52
122,15287500,2662,38,53
123,15290706,2678,38,52
124,15293913,2695,39,51
125,15297120,2723,39,51
126,15300326,2723,39,53
127,15303533,2731,40,55
128,15306740,2763,40,55
129,15309946,2780,40,54
130,15313153,2797,41,53
131,15316360,2815,41,53
132,15319566,2832,41,54
133,15322773,2851,42,55
134,15325988,2852,42,55
135,15329195,2889,42,55
136,15332402,2905,43,55
137,15335617,2923,43,56
138,15338824,2942,43,56
139,15342030,2977,43,57
140,15345237,2979,44,56
141,15348444,2982,44,56
142,15351651,3018,44,58
143,15354857,3036,45,58
144,15358064,3055,45,58
145,15361270,3075,45,57
146,15364477,3097,46,57
147,15367684,3106,46,58
148,15370891,3128,46,58
149,15374097,3153,47,59
150,15377304,3174,47,58
151,15380510,3194,47,58
152,15383717,3231,48,57
153,15386924,3233,48,58
154,15390130,3243,48,58
155,15393337,3276,49,60
156,15396544,3297,49,60
157,15399751,3318,49,60
158,15402957,3340,50,60
159,15406164,3360,50,60
160,15409371,3370,50,61
161,15412577,3405,51,61
162,15415784,3427,51,60
163,15418991,3449,51,58
164,15422197,3488,51,58
165,15425404,3488,52,59
166,15428610,3509,52,61
167,15431817,3538,52,61
168,15435024,3561,53,61
169,15438230,3584,53,60
170,15441446,3608,53,60
171,15444652,3618,54,60
172,15447859,3654,54,60
173,15451074,3677,54,61
174,15454281,3701,55,61
175,15457488,3741,55,60
176,15460695,3743,55,60
177,15463901,3768,56,60
178,15467108,3798,56,60
179,15470314,3823,56,61
180,15473521,3847,57,61
181,15476728,3872,57,60
182,15479934,3885,57,61
183,15483141,3921,57,61
184,15486356,3946,58,61
185,15489563,3971,58,59
186,15492770,3999,58,58
187,15495976,4009,59,58
188,15499183,4047,59,62
189,15502390,4073,59,61
190,15505596,4099,60,61
191,15508812,4125,60,60
192,15512018,4143,60,60
193,15515225,4179,61,60
194,15518432,4206,61,60
195,15521638,4232,61,59
196,15524845,4255,62,59
197,15528052,4285,62,59
198,15531267,4314,62,63
199,15534474,4341,63,61
200,15537680,4369,63,61
201,15540889,4393,63,58
202,15544103,4423,64,59
203,15547309,4452,64,59
204,15550516,4480,64,58
205,15553731,4510,65,58
206,15556938,4527,65,60
207,15560144,4567,65,60
208,15563351,4596,66,59
209,15566558,4624,66,58
210,15569765,4646,66,58
211,15572980,4682,66,59
212,15576186,4712,67,59
213,15579393,4741,67,59
214,15582608,4768,67,56
215,15585815,4801,68,59
216,15589022,4831,68,59
217,15592229,4861,68,59
218,15595444,4891,69,56
219,15598650,4912,69,58
