,t,ticks,I
0,48352279,434,0
1,48354801,444,291
2,48357496,461,291
3,48360200,483,718
4,48362895,509,476
5,48365591,538,476
6,48368286,569,315
7,48370990,602,315
8,48373686,636,218
9,48376389,672,162
10,48379094,708,162
11,48381789,746,113
12,48384484,783,113
13,48387179,821,93
14,48389789,859,61
15,48392397,896,61
16,48395005,934,52
17,48397614,972,52
18,48400223,1010,42
19,48402918,1051,42
20,48405622,1090,35
21,48408326,1130,26
22,48411030,1170,26
23,48413725,1210,30
24,48416431,1251,30
25,48419133,1291,28
26,48421837,1331,24
27,48424533,1371,24
28,48427228,1411,21
29,48429923,1452,21
30,48432628,1492,19
31,48435323,1532,15
32,48438018,1573,15
33,48440714,1613,12
34,48443409,1654,12
35,48446104,1694,15
36,48448799,1734,15
37,48451495,1775,12
38,48454190,1815,15
39,48456894,1855,15
40,48459589,1895,12
41,48462285,1935,12
42,48464980,1975,18
43,48467675,2015,10
44,48470371,2055,10
45,48473066,2094,14
46,48475762,2134,14
47,48478457,2174,15
48,48481152,2213,15
49,48483848,2253,15
50,48486543,2292,11
51,48489238,2332,11
52,48491933,2371,15
53,48494637,2410,14
54,48497333,2450,14
55,48500028,2488,13
56,48502723,2528,13
57,48505419,2566,13
58,48508114,2605,13
59,48510810,2644,17
60,48513514,2683,15
61,48516209,2722,15
62,48518904,2760,13
63,48521608,2798,13
64,48524312,2837,15
65,48527008,2875,17
66,48529703,2914,17
67,48532407,2952,14
68,48535111,2990,14
69,48537806,3028,13
70,48540501,3065,18
71,48543205,3103,18
72,48545909,3141,17
73,48548605,3178,17
74,48551300,3216,14
75,48553996,3253,16
76,48556699,3290,16
77,48559404,3327,19
78,48562099,3365,19
79,48564794,3401,17
80,48567489,3438,16
81,48570185,3475,16
82,48572880,3511,21
83,48575576,3548,21
84,48578271,3583,20
85,48580966,3620,20
86,48583661,3656,18
87,48586357,3692,18
88,48589052,3728,18
89,48591756,3763,23
90,48594460,3799,23
91,48597156,3834,20
92,48599851,3870,22
93,48602546,3904,22
94,48605251,3940,22
95,48607945,3975,22
96,48610641,4010,27
97,48613345,4044,20
98,48616040,4079,20
99,48618736,4113,25
100,48621431,4147,25
101,48624126,4182,24
102,48626830,4215,27
103,48629526,4250,27
104,48632229,4283,24
105,48634934,4317,24
106,48637629,4350,26
107,48640324,4384,26
108,48643019,4417,29
109,48645716,4450,26
110,48648410,4483,26
111,48651114,4516,30
112,48653818,4548,30
113,48656514,4581,29
114,48659226,4613,32
115,48661923,4645,32
116,48664626,4677,29
117,48667330,4709,29
118,48670034,4741,32
119,48672737,4773,35
120,48675433,4804,35
121,48678128,4836,30
122,48680824,4866,30
123,48683519,4898,34
124,48686214,4928,33
125,48688910,4959,33
126,48691605,4990,37
127,48694300,5021,37
128,48697004,5050,33
129,48699699,5081,33
130,48702395,5111,34
131,48705090,5141,39
132,48707785,5170,39
133,48710481,5200,35
134,48713176,5229,35
135,48715871,5258,38
136,48718567,5287,40
137,48721262,5316,40
138,48723957,5345,39
139,48726653,5374,39
140,48729350,5403,41
141,48732052,5431,38
142,48734748,5459,38
143,48737443,5487,39
144,48740138,5515,39
145,48742833,5543,42
146,48745529,5570,41
147,48748224,5598,41
148,48750919,5625,43
149,48753624,5652,43
150,48756319,5679,41
151,48759014,5706,41
152,48761710,5733,44
153,48764413,5759,45
154,48767109,5786,45
155,48769813,5812,41
156,48772508,5838,41
157,48775212,5864,44
158,48777916,5890,47
159,48780611,5915,47
160,48783307,5941,44
161,48786003,5966,44
162,48788706,5992,44
163,48791401,6016,50
164,48794097,6042,50
165,48796792,6066,44
166,48799488,6091,44
167,48802191,6115,44
168,48804887,6139,48
169,48807582,6164,48
170,48810286,6188,48
171,48812982,6211,48
172,48815677,6235,46
173,48818372,6259,46
174,48821085,6282,48
175,48823781,6306,50
176,48826475,6329,50
177,48829171,6352,47
178,48831866,6375,47
179,48834561,6398,49
180,48837257,6421,49
181,48839952,6443,49
182,48842648,6465,48
183,48845351,6488,48
184,48848047,6510,48
185,48850742,6531,50
186,48853437,6553,50
187,48856133,6575,48
188,48858828,6596,48
189,48861523,6618,48
