,t,ticks,u,I
0,36840454,745,0,0.55
1,36843730,745,0,0.44
2,36847006,745,0,0.37
3,36850282,745,0,0.33
4,36853558,745,0,0.32
5,36856834,745,0,0.33
6,36860110,745,0,0.31
7,36863386,745,0,0.36
8,36866662,745,0,0.28
9,36869938,745,0,0.27
10,36873214,745,0,0.35
11,36876490,745,0,0.3
12,36879766,745,0,0.37
13,36883042,745,0,0.3
14,36886318,745,0,0.39
15,36889594,745,0,0.32
16,36892870,745,1,0.33
17,36896146,745,1,0.44
18,36899422,745,1,0.43
19,36902698,745,1,0.32
20,36905974,745,1,0.43
21,36909250,745,1,0.34
22,36912526,745,2,0.37
23,36915802,745,2,0.36
24,36919078,745,2,0.44
25,36922354,745,2,0.38
26,36925630,746,2,0.24
27,36928906,746,3,0.32
28,36932182,746,3,0.44
29,36935458,746,3,0.41
30,36938734,747,3,0.33
31,36942010,747,4,0.31
32,36945295,748,4,0.34
33,36948570,749,4,0.41
34,36951846,749,4,0.34
35,36955123,750,5,0.38
36,36958398,752,5,0.32
37,36961674,753,5,0.37
38,36964951,754,6,0.37
39,36968226,756,6,0.36
40,36971511,758,6,0.27
41,36974787,760,7,0.27
42,36978063,762,7,0.44
43,36981339,764,7,0.31
44,36984615,767,8,0.34
45,36987891,770,8,0.31
46,36991167,772,8,0.41
47,36994452,775,9,0.29
48,36997728,779,9,0.48
49,37001004,782,9,0.41
50,37004288,786,10,0.24
51,37007651,790,10,0.36
52,37011014,795,11,0.27
53,37014376,800,11,0.3
54,37017739,805,12,0.35
55,37021102,810,12,0.44
56,37024465,815,12,0.28
57,37027827,821,13,0.3
58,37031190,827,13,0.41
59,37034552,833,14,0.27
60,37037915,840,14,0.34
61,37041278,846,15,0.51
62,37044640,853,15,0.36
63,37048003,860,16,0.46
64,37051366,867,16,0.46
65,37054728,875,17,0.57
66,37058091,883,17,0.47
67,37061454,892,18,0.55
68,37064816,900,18,0.35
69,37068179,909,19,0.39
70,37071542,917,19,0.24
71,37074904,927,20,0.26
72,37078267,936,20,0.27
73,37081630,946,21,0.33
74,37084992,956,21,0.4
75,37088355,966,22,0.4
76,37091718,976,23,0.44
77,37095080,987,23,0.37
78,37098443,998,24,0.26
79,37101806,1009,24,0.3
80,37105255,1021,25,0.37
81,37108704,1034,26,0.61
82,37112154,1046,26,0.17
83,37115603,1059,27,0.36
84,37119052,1073,27,0.54
85,37122502,1086,28,0.44
86,37125951,1100,29,0.33
87,37129401,1114,29,0.33
88,37132850,1128,30,0.58
89,37136299,1143,31,0.3
90,37139748,1159,31,0.34
91,37143207,1174,32,0.38
92,37146664,1190,33,0.37
93,37150114,1206,33,0.54
94,37153565,1222,34,0.4
95,37157021,1239,34,0.21
96,37160470,1256,35,0.32
97,37163920,1273,36,0.47
98,37167369,1291,37,0.5
99,37170818,1309,37,0.23
100,37174268,1328,38,0.26
101,37177717,1347,38,0.46
102,37181166,1365,39,0.46
103,37184624,1385,40,0.37
104,37188074,1405,40,0.24
105,37191523,1425,41,0.39
106,37194973,1446,42,0.43
107,37198422,1467,43,0.18
108,37201871,1488,43,0.24
109,37205320,1509,44,0.43
110,37208770,1531,45,0.56
111,37212219,1553,45,0.17
112,37215669,1575,46,0.25
113,37219118,1599,47,0.61
114,37222567,1621,47,0.48
115,37226016,1645,48,0.13
116,37229466,1669,49,0.24
117,37232915,1694,49,0.52
118,37236364,1718,50,0.28
119,37239814,1743,51,0.19
120,37243263,1768,52,0.38
121,37246712,1794,52,0.58
122,37250162,1820,53,0.37
123,37253620,1847,54,0.35
124,37257069,1874,54,0.31
125,37260518,1901,55,0.57
126,37263968,1929,56,0.44
127,37267417,1956,56,0.15
128,37270866,1985,57,0.46
129,37274316,2013,58,0.52
130,37277765,2042,58,0.42
131,37281214,2071,59,0.13
132,37284664,2101,60,0.35
133,37288113,2131,60,0.57
134,37291571,2161,61,0.49
135,37295020,2192,62,0.23
136,37298478,2223,62,0.19
137,37301928,2255,63,0.36
138,37305377,2286,64,0.47
139,37308827,2319,64,0.35
140,37312276,2351,65,0.16
141,37315725,2384,66,0.32
