,t,ticks,u,I
0,5918613,0.0,0,0.0
1,5920117,0.0,0,0.0
2,5921621,0.0,0,0.0
3,5923129,0.0,0,0.0
4,5924633,0.0,0,0.0
5,5926141,0.0,0,0.0
6,5927645,0.0,0,0.0
7,5929153,0.0,0,0.0
8,5930661,0.0,0,0.0
9,5932169,0.0,0,0.0
10,5933673,0.0,0,0.0
11,5935181,0.0,0,0.0
12,5936685,0.0,0,0.0
13,5938189,0.0,0,0.0
14,5939693,0.0,0,0.0
15,5941197,0.0,0,0.0
16,5942701,0.0,0,0.0
17,5944205,0.0,0,0.0
18,5945709,0.0,0,0.0
19,5947217,0.0,0,0.0
20,5948721,0.0,0,0.0
21,5950225,0.0,0,0.0
22,5951729,0.0,0,0.0
23,5953233,0.0,0,0.0
24,5954737,0.0,0,0.0
25,5956241,0.0,0,0.0
26,5957745,0.0,0,0.0
27,5959249,0.0,0,0.0
28,5960753,0.0,0,0.0
29,5962257,0.0,0,0.0
30,5963761,0.0,0,0.0
31,5965265,0.0,0,0.0
32,5966769,0.0,0,0.0
33,5968273,0.0,0,0.0
34,5969777,0.0,1,0.0
35,5971281,0.0,1,0.0
36,5972785,0.0,1,0.0
37,5974289,0.0,1,0.0
38,5975793,0.0,1,0.0
39,5977297,0.0,1,0.0
40,5978801,0.0,1,0.0
41,5980305,0.0,1,0.0
42,5981809,0.0,1,0.0
43,5983313,0.0,1,0.0
44,5984817,0.0,1,0.0
45,5986321,0.0,1,0.0
46,5987829,0.0,1,0.0
47,5989333,0.0,2,0.0
48,5990837,0.0,2,0.0
49,5992341,0.0,2,0.0
50,5993845,0.0,2,0.0
51,5995353,0.0,2,0.0
52,5996861,0.0,2,0.0
53,5998369,0.0,2,0.0
54,5999877,0.0,2,0.0
55,6001385,0.0,2,0.0
56,6002893,0.0,2,0.0
57,6004401,0.0,2,0.0
58,6005909,0.0,2,0.0
59,6007417,0.0,3,0.0
60,6008925,0.0,3,0.0
61,6010433,0.0,3,0.0
62,6011941,0.0,3,0.0
63,6013449,0.0,3,0.0
64,6014977,0.0,3,0.0
65,6016505,0.0,3,0.0
66,6018033,0.0,3,0.0
67,6019561,0.0,4,0.0
68,6021089,0.0,4,0.0
69,6022617,0.0,4,0.0
70,6024145,0.0,4,0.0
71,6025673,0.0,4,0.0
72,6027201,0.0,4,0.0
73,6028725,0.0,4,0.0
74,6030249,0.0,4,0.0
75,6031773,0.0,5,0.0
76,6033301,0.001,5,0.0
77,6034829,0.001,5,0.0
78,6036357,0.001,5,0.0
79,6037885,0.001,5,0.0
80,6039413,0.001,5,0.0
81,6040941,0.001,5,0.0
