,t,ticks,u,I
0,9929203,0,0,0
1,9931925,0,0,0
2,9934646,0,0,0
3,9937367,0,0,0
4,9940088,0,0,0
5,9942810,0,0,0
6,9945531,0,0,0
7,9948252,0,0,0
8,9950974,0,0,0
9,9953695,0,0,0
10,9956416,0,0,0
11,9959138,0,0,0
12,9961859,0,0,0
13,9964580,0,0,0
14,9967302,0,0,0
15,9970023,0,0,0
16,9972745,0,0,0
17,9975466,0,0,0
18,9978187,0,0,0
19,9980908,0,1,0
20,9983630,0,1,0
21,9986351,0,1,0
22,9989072,0,1,0
23,9991794,0,1,0
24,9994515,0,1,0
25,9997236,0,1,0
26,9999958,0,2,0
27,10002679,0,2,0
28,10005487,0,2,0
29,10008304,0,2,0
30,10011112,0,2,0
31,10013920,0,2,0
32,10016728,0,3,1
33,10019536,0,3,1
34,10022344,0,3,1
35,10025152,1,3,1
36,10027960,1,3,0
37,10030768,1,4,1
38,10033584,2,4,1
39,10036392,2,4,1
40,10039209,3,4,1
41,10042017,3,5,3
42,10044825,4,5,4
43,10047633,5,5,4
44,10050441,6,5,2
45,10053249,7,6,2
46,10056057,8,6,9
47,10058865,9,6,5
48,10061673,10,6,5
49,10064568,12,7,5
50,10067462,13,7,6
51,10070357,15,7,6
52,10073252,17,8,7
53,10076146,19,8,7
54,10079041,21,8,9
55,10081936,23,9,9
56,10084830,25,9,9
57,10087725,28,9,10
58,10090706,31,10,11
59,10093774,34,10,11
60,10096842,37,10,14
61,10099910,40,11,13
62,10102978,44,11,13
63,10106046,48,12,14
64,10109123,52,12,16
65,10112191,56,12,16
66,10115259,60,13,16
67,10118336,65,13,18
68,10121404,70,14,18
69,10124472,75,14,18
70,10127540,80,15,20
71,10130608,85,15,20
72,10133676,91,15,21
73,10136744,97,16,21
74,10139812,102,16,21
75,10142967,109,17,22
76,10146121,115,17,25
77,10149276,122,18,25
78,10152431,129,18,26
79,10155585,136,19,27
80,10158740,144,19,27
81,10161894,151,20,29
82,10165058,159,20,30
83,10168212,166,21,30
84,10171367,175,21,30
85,10174522,183,22,32
86,10177676,192,22,32
87,10180831,201,23,34
88,10183986,210,23,34
89,10187141,219,24,35
90,10190295,228,25,35
91,10193450,238,25,37
92,10196605,248,26,39
93,10199759,258,26,39
94,10202914,268,27,40
95,10206068,279,27,41
96,10209223,290,28,41
97,10212378,301,28,42
98,10215532,312,29,43
99,10218687,324,30,43
100,10221842,336,30,44
101,10224996,348,31,43
102,10228160,361,31,43
103,10231314,373,32,45
104,10234469,386,33,48
105,10237624,400,33,48
106,10240778,413,34,48
107,10243933,426,34,50
108,10247088,440,35,51
109,10250243,454,36,51
110,10253397,469,36,50
111,10256552,483,37,52
112,10259715,498,37,52
113,10262870,513,38,54
114,10266025,529,38,55
115,10269179,544,39,55
116,10272334,560,40,56
117,10275488,576,40,56
118,10278643,592,41,56
119,10281798,609,42,56
120,10284953,626,42,56
121,10288107,643,43,57
122,10291262,661,44,57
123,10294416,678,44,59
124,10297571,696,45,59
125,10300726,714,45,59
126,10303880,733,46,59
