,t,ticks,u,I
0,11794881,0.0,0,0.0
1,11796505,0.0,0,0.0
2,11798133,0.0,0,0.0
3,11799757,0.0,0,0.0
4,11801381,0.0,0,0.0
5,11803005,0.0,0,0.0
6,11804629,0.0,0,0.0
7,11806253,0.0,0,0.0
8,11807877,0.0,0,0.0
9,11809501,0.0,0,0.0
10,11811129,0.0,0,0.0
11,11812753,0.0,0,0.0
12,11814377,0.0,0,0.0
13,11816002,0.0,0,0.0
14,11817625,0.0,0,0.0
15,11819249,0.0,0,0.0
16,11820873,0.0,0,0.0
17,11822497,0.0,0,0.0
18,11824125,0.0,0,0.0
19,11825749,0.0,0,0.0
20,11827373,0.0,0,0.0
21,11828997,0.0,0,0.0
22,11830621,0.0,0,0.0
23,11832245,0.0,0,0.0
24,11833869,0.0,0,0.0
25,11835493,0.0,0,0.0
26,11837121,0.0,0,0.0
27,11838745,0.0,0,0.0
28,11840369,0.0,0,0.0
29,11841993,0.0,0,0.0
30,11843617,0.0,0,0.0
31,11845241,0.0,1,0.0
32,11846869,0.0,1,0.0
33,11848493,0.0,1,0.0
34,11850121,0.0,1,0.0
35,11851745,0.0,1,0.0
36,11853369,0.0,1,0.0
37,11854993,0.0,1,0.0
38,11856617,0.0,1,0.0
39,11858241,0.0,1,0.0
40,11859869,0.0,1,0.0
41,11861493,0.0,1,0.0
42,11863121,0.0,1,0.0
43,11864745,0.0,1,0.0
44,11866369,0.0,2,0.0
45,11867993,0.0,2,0.0
46,11869617,0.0,2,0.0
47,11871241,0.0,2,0.0
48,11872869,0.0,2,0.0
49,11874493,0.0,2,0.0
50,11876121,0.0,2,0.0
51,11877749,0.0004,2,0.0
52,11879393,0.0004,2,0.0
53,11881037,0.0004,2,0.0
54,11882681,0.0004,3,0.0
55,11884325,0.0004,3,0.0
56,11885969,0.0004,3,0.0
57,11887613,0.0004,3,0.0
58,11889257,0.0004,3,0.0
59,11890901,0.0004,3,0.0
60,11892545,0.0008,3,0.0
61,11894189,0.0008,3,0.0
62,11895833,0.0008,4,0.0
63,11897477,0.0008,4,0.0
64,11899121,0.0012,4,0.0
65,11900765,0.0012,4,0.0
66,11902409,0.0012,4,0.0
67,11904053,0.0016,4,0.0
68,11905697,0.0016,4,0.0
69,11907341,0.002,5,0.0
70,11908985,0.002,5,0.0
71,11910629,0.0025,5,0.0
72,11912273,0.0025,5,0.0
73,11913917,0.0029,5,0.0
74,11915561,0.0029,5,0.0
75,11917205,0.0033,5,0.0
76,11918849,0.0037,6,0.0
77,11920497,0.0041,6,0.0
78,11922141,0.0041,6,0.0
79,11923785,0.0046,6,0.0
80,11925429,0.005,6,0.0
81,11927073,0.0054,6,0.0
82,11928717,0.0058,7,0.0
83,11930361,0.0062,7,0.0
84,11932005,0.0067,7,0.0
85,11933649,0.0071,7,0.0
86,11935297,0.0075,7,0.0
87,11936941,0.0079,7,0.0
88,11938585,0.0083,8,0.0
89,11940229,0.0092,8,0.0
90,11941873,0.0096,8,0.0
91,11943517,0.01,8,0.0
92,11945161,0.0108,8,0.0
93,11946805,0.0113,8,0.0
94,11948449,0.0121,9,0.0
95,11950093,0.0125,9,0.0
96,11951737,0.0134,9,0.0
97,11953381,0.0142,9,0.0
98,11955025,0.015,9,0.0
99,11956669,0.0154,10,0.0
